sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
183,power2,ALRI,All Age,2.848817737,0.003176902,1.095560845,8.381295023,-14194.65308,-14185.54642
184,power2,ALRI,All Age,1.702047255,0.003745941,1.093105294,8.644619394,-13865.90764,-13856.80097
185,power2,ALRI,All Age,2.453597279,0.009192048,0.820392449,6.994019617,-13843.26393,-13834.15727
186,power2,ALRI,All Age,1.972351694,0.003758771,1.144025667,8.257031756,-14019.95719,-14010.85053
187,power2,ALRI,All Age,2.15381283,0.003621344,1.122512453,6.846527927,-13861.78995,-13852.68328
188,power2,ALRI,All Age,2.499107612,0.004830227,0.993479251,8.33850241,-13994.84043,-13985.73377
189,power2,ALRI,All Age,1.816012827,0.006425487,0.843715951,8.753533021,-13853.93491,-13844.82825
190,power2,ALRI,All Age,2.64113989,0.000775667,1.436813706,6.837949441,-14083.35922,-14074.25256
191,power2,ALRI,All Age,1.470966109,0.005840324,1.113093317,7.458189473,-14039.56932,-14030.46265
192,power2,ALRI,All Age,1.787474695,0.003034254,1.255470267,8.614285976,-13906.66846,-13897.56179
193,power2,ALRI,All Age,1.575092935,0.002077043,1.34847489,6.17297116,-14035.84632,-14026.73966
194,power2,ALRI,All Age,2.449870514,0.000702703,1.594692544,8.144550921,-13794.89908,-13785.79241
195,power2,ALRI,All Age,1.316230447,0.014939396,0.743385386,5.814783117,-13875.51065,-13866.40399
196,power2,ALRI,All Age,1.751371201,0.003875694,1.116127313,8.239013986,-13987.8691,-13978.76243
197,power2,ALRI,All Age,3.461818477,0.001005179,1.372123016,7.673693522,-13873.50164,-13864.39497
198,power2,ALRI,All Age,2.510722912,0.001380271,1.399000499,8.386360801,-14003.56303,-13994.45637
199,power2,ALRI,All Age,2.925556325,0.000351963,1.686030115,8.165618363,-13863.58047,-13854.4738
200,power2,ALRI,All Age,3.438747726,0.004749664,0.849510182,6.151549775,-13838.95418,-13829.84751
201,power2,ALRI,All Age,2.527087687,0.004457036,1.022351585,7.684212543,-13862.93867,-13853.832
202,power2,ALRI,All Age,1.876101653,0.005918291,0.959375736,6.103734161,-13892.15248,-13883.04582
203,power2,ALRI,All Age,2.80518939,0.000829399,1.503599477,6.107360919,-14029.69951,-14020.59285
204,power2,ALRI,All Age,3.318941159,0.000673556,1.522281605,8.292309224,-14091.05433,-14081.94766
205,power2,ALRI,All Age,1.242837244,0.000842376,1.616735194,5.856188885,-13876.1017,-13866.99504
206,power2,ALRI,All Age,1.934808077,0.004034965,1.088547767,8.291834169,-14106.89898,-14097.79231
