sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
163,power2,LC,All Age,487.2372123,3.63E-05,0.734161459,8.027897824,-10293.41155,-10285.1014
164,power2,LC,All Age,78.94579759,0.000128237,0.808384014,7.037949829,-10317.27358,-10308.96343
165,power2,LC,All Age,50.2644478,5.42E-05,0.955564616,5.862476595,-10219.98345,-10211.6733
166,power2,LC,All Age,43.48312117,1.38E-05,1.132077141,8.586020562,-10209.05185,-10200.7417
167,power2,LC,All Age,171.5984759,0.000100692,0.741709716,7.795023453,-10325.87846,-10317.56832
168,power2,LC,All Age,89.46548058,0.000191019,0.751064098,6.897488722,-10211.42936,-10203.11921
169,power2,LC,All Age,355.1542259,7.76E-05,0.693672227,8.561020793,-10233.59823,-10225.28808
170,power2,LC,All Age,60.90172913,0.000336264,0.742177889,7.814275067,-10312.27592,-10303.96577
171,power2,LC,All Age,164.6683555,0.000120683,0.734124589,6.253420567,-10258.28971,-10249.97956
172,power2,LC,All Age,393.9538451,7.74E-05,0.678728833,5.9124016,-10140.4226,-10132.11245
173,power2,LC,All Age,221.0351988,0.000119573,0.688851786,8.563119535,-10278.12212,-10269.81197
174,power2,LC,All Age,72.62610344,0.000139469,0.817894666,8.21083024,-10251.07127,-10242.76112
175,power2,LC,All Age,65.97830337,0.0005381,0.678975103,6.751273448,-10268.50159,-10260.19144
176,power2,LC,All Age,83.09142864,0.000597193,0.635531051,7.442123795,-10136.16663,-10127.85648
177,power2,LC,All Age,50.99139177,0.000165213,0.845963595,8.656514273,-10295.49506,-10287.18491
178,power2,LC,All Age,287.2767343,0.000132979,0.656402656,7.687739502,-10304.44205,-10296.1319
179,power2,LC,All Age,47.79215949,0.000299012,0.78895732,7.595951846,-10234.42032,-10226.11017
180,power2,LC,All Age,47.99382933,9.32E-05,0.911020259,7.444596737,-10295.12295,-10286.8128
181,power2,LC,All Age,74.77154361,0.000251664,0.74967453,6.295978703,-10218.39486,-10210.08471
182,power2,LC,All Age,35.27322812,7.18E-06,1.218421058,6.53344035,-10238.49304,-10230.18289
183,power2,LC,All Age,89.67078361,0.000240251,0.726337363,8.142700113,-10265.22858,-10256.91843
184,power2,LC,All Age,185.3561403,9.89E-05,0.731032629,6.047144153,-10191.73083,-10183.42068
185,power2,LC,All Age,67.4617091,0.000280215,0.755570054,7.100006826,-10317.18024,-10308.87009
186,power2,LC,All Age,135.0617898,0.000122214,0.747240734,8.614096955,-10253.49918,-10245.18903
187,power2,LC,All Age,78.32212036,0.000197132,0.759652727,7.010931287,-10336.60085,-10328.2907
188,power2,LC,All Age,402.8580641,6.31E-05,0.692371117,8.796991254,-10301.07144,-10292.76129
189,power2,LC,All Age,96.48646877,0.000147892,0.769027124,8.056334535,-10329.6267,-10321.31655
190,power2,LC,All Age,129.7950533,0.000105735,0.768876653,7.945256288,-10304.71262,-10296.40247
191,power2,LC,All Age,98.35148721,0.000349406,0.682634401,5.969729603,-10214.13463,-10205.82448
192,power2,LC,All Age,140.8056167,0.000191489,0.699933346,8.440366161,-10218.10862,-10209.79847
193,power2,LC,All Age,494.0585286,3.43E-05,0.746850546,8.482902932,-10289.58963,-10281.27948
194,power2,LC,All Age,424.5180354,6.02E-05,0.699635032,7.167800138,-10273.84266,-10265.53251
195,power2,LC,All Age,347.6834231,8.89E-05,0.678345145,6.725495056,-10331.51008,-10323.19993
196,power2,LC,All Age,258.8822143,8.60E-05,0.711611344,7.107233361,-10216.74332,-10208.43317
197,power2,LC,All Age,56.90663458,0.000243363,0.781077489,8.795742472,-10302.39343,-10294.08328
198,power2,LC,All Age,334.7356851,2.44E-05,0.817085133,6.575193109,-10266.85946,-10258.54931
199,power2,LC,All Age,79.49658149,0.000168076,0.781320914,8.757903837,-10333.24595,-10324.9358
200,power2,LC,All Age,452.6156479,5.13E-05,0.712299934,6.244495802,-10289.27249,-10280.96234
201,power2,LC,All Age,61.98384286,0.000387993,0.72810651,8.772180443,-10237.30068,-10228.99053
202,power2,LC,All Age,45.96770003,2.90E-05,1.039719257,8.756018015,-10245.06019,-10236.75004
203,power2,LC,All Age,54.41665553,0.000206838,0.812927543,7.124140023,-10188.29612,-10179.98597
204,power2,LC,All Age,185.69496,0.000167069,0.681694039,7.962855362,-10331.0357,-10322.72555
205,power2,LC,All Age,199.6554891,9.97E-05,0.732512733,6.71612347,-10313.27277,-10304.96263
206,power2,LC,All Age,184.4528491,4.78E-05,0.807217572,7.069647106,-10286.8608,-10278.55065
207,power2,LC,All Age,118.7885667,0.000197461,0.711341985,8.227806098,-10260.63056,-10252.32041
208,power2,LC,All Age,53.46600044,0.000590487,0.696894127,6.099455008,-10284.7816,-10276.47145
209,power2,LC,All Age,248.3434375,0.000140305,0.666813846,6.025503527,-10218.94356,-10210.63341
210,power2,LC,All Age,172.6790987,4.82E-05,0.824649888,7.550117115,-10319.16263,-10310.85249
211,power2,LC,All Age,137.4030515,0.000123573,0.738218424,7.501344827,-10224.98326,-10216.67311
212,power2,LC,All Age,88.55392688,6.05E-05,0.867631926,8.353288928,-10293.41711,-10285.10696
213,power2,LC,All Age,86.77075802,0.000277745,0.714771896,7.848091398,-10285.5498,-10277.23965
214,power2,LC,All Age,38.28259473,7.71E-05,0.969330264,8.378423716,-10181.03215,-10172.722
215,power2,LC,All Age,92.24752807,0.000250521,0.717531406,7.67260409,-10270.66508,-10262.35493
216,power2,LC,All Age,45.5367302,3.30E-05,1.023794193,6.045191828,-10136.27762,-10127.96747
217,power2,LC,All Age,112.3142121,0.000106203,0.785300676,8.741247843,-10217.44821,-10209.13806
218,power2,LC,All Age,271.6132738,5.64E-05,0.75448062,6.400861391,-10262.77553,-10254.46538
219,power2,LC,All Age,242.8793147,0.000128225,0.682070413,7.908352824,-10223.04418,-10214.73403
220,power2,LC,All Age,136.0943241,8.33E-05,0.789533575,8.684054235,-10260.11162,-10251.80147
221,power2,LC,All Age,117.269911,0.000165567,0.732805567,8.215843443,-10320.0439,-10311.73375
222,power2,LC,All Age,269.0211527,6.51E-05,0.73668669,8.076672432,-10231.40381,-10223.09366
223,power2,LC,All Age,83.22558417,9.79E-05,0.82559849,5.940312152,-10178.27918,-10169.96903
224,power2,LC,All Age,87.61562025,0.000143557,0.787499921,5.889333088,-10250.4051,-10242.09495
225,power2,LC,All Age,93.79288724,0.000154721,0.770344103,7.73456604,-10262.41999,-10254.10984
