sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
586,power2,IHD,AllAge,1.36750194,0.044483325,0.418820489,7.150907812,-4763.733449,-4757.628006
587,power2,IHD,AllAge,2.263151553,0.043223304,0.312770281,6.904923957,-4740.513631,-4734.408189
588,power2,IHD,AllAge,1.177350713,0.07149705,0.446895292,6.428222645,-4715.261117,-4709.155674
589,power2,IHD,AllAge,1.834672166,0.043069841,0.339057328,8.332730643,-4738.23806,-4732.132618
590,power2,IHD,AllAge,1.614438575,0.059076283,0.319683017,7.632281929,-4712.596456,-4706.491014
591,power2,IHD,AllAge,1.26898748,0.014813437,0.904140876,8.537709454,-4738.072717,-4731.967275
592,power2,IHD,AllAge,1.146630772,0.031225402,0.798260384,8.678753176,-4730.985921,-4724.880479
593,power2,IHD,AllAge,1.5767482,0.06863123,0.320707628,8.36536311,-4730.347568,-4724.242126
594,power2,IHD,AllAge,1.582774613,0.063772984,0.315486115,7.744015531,-4720.48758,-4714.382138
595,power2,IHD,AllAge,1.245041316,0.014543588,1.072544132,7.072024924,-4703.862553,-4697.757111
596,power2,IHD,AllAge,1.378847929,0.061921538,0.357253387,7.522097425,-4711.967267,-4705.861825
597,power2,IHD,AllAge,1.758478878,0.053534232,0.312330288,6.920404436,-4717.28503,-4711.179588
598,power2,IHD,AllAge,4.740634585,0.02483018,0.264142836,8.23514224,-4766.055739,-4759.950297
599,power2,IHD,AllAge,1.367573324,0.0614743,0.384214985,6.866150191,-4743.839581,-4737.734139
600,power2,IHD,AllAge,1.307517476,0.049778763,0.42597345,8.324239243,-4765.327984,-4759.222542
601,power2,IHD,AllAge,2.012693194,0.030649826,0.36669419,8.689211837,-4831.832118,-4825.726676
602,power2,IHD,AllAge,1.430729387,0.058054169,0.361346781,7.223049057,-4742.42289,-4736.317448
603,power2,IHD,AllAge,3.128954608,0.024942071,0.318890012,6.649417638,-4776.82323,-4770.717788
604,power2,IHD,AllAge,1.45369774,0.037109987,0.40389922,8.25678908,-4723.0634,-4716.957957
605,power2,IHD,AllAge,1.367021456,0.061782568,0.412943615,6.334626742,-4769.856801,-4763.751359
606,power2,IHD,AllAge,1.727995654,0.047316782,0.358378573,7.695791689,-4724.02591,-4717.920468
607,power2,IHD,AllAge,1.897115769,0.043871471,0.318785224,6.802451703,-4812.507362,-4806.40192
608,power2,IHD,AllAge,1.627426339,0.056270199,0.346861052,6.907459397,-4742.025956,-4735.920514
609,power2,IHD,AllAge,1.457959578,0.061286043,0.358084108,6.733270395,-4747.59348,-4741.488038
610,power2,IHD,AllAge,1.441445461,0.044878292,0.415307061,6.983521576,-4736.262495,-4730.157053
611,power2,IHD,AllAge,1.812778819,0.059133718,0.32947529,8.276388095,-4743.952725,-4737.847283
612,power2,IHD,AllAge,1.459561545,0.063022579,0.353674078,7.469521509,-4796.309012,-4790.20357
613,power2,IHD,AllAge,1.310787065,0.054002963,0.40691332,8.710344773,-4741.066776,-4734.961334
614,power2,IHD,AllAge,2.563530877,0.042527848,0.287111659,8.525700529,-4777.354593,-4771.24915
615,power2,IHD,AllAge,4.254571906,0.023269796,0.274222417,7.432737877,-4752.743833,-4746.638391
616,power2,IHD,AllAge,1.184753195,0.019470902,0.998229704,8.310523957,-4787.62381,-4781.518368
617,power2,IHD,AllAge,1.764563982,0.051994946,0.309003988,6.594934657,-4773.937153,-4767.831711
618,power2,IHD,AllAge,1.190234404,0.04056352,0.684079521,8.75744053,-4819.90787,-4813.802428
619,power2,IHD,AllAge,1.452615533,0.034042915,0.445796647,6.847620832,-4757.473318,-4751.367876
620,power2,IHD,AllAge,1.150000874,0.090397969,0.422079646,6.51596154,-4719.499061,-4713.393619
